,日期,标题,阅读量,链接
18,05.14(周五),直播链接! 理大云讲堂干货满满  探讨未来设计及创新领导力,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901411&idx=1&sn=93e99e3c68bef8018c987c12cff2485e&chksm=8f5cd9d6b82b50c07c6775be12862491554d05eb14600369686b0813f8182032dd99cf2254aa#rd
19,05.14(周五),神经科学中心实验室! 理理与你重游母校 | 第九期,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901411&idx=2&sn=e99354b683a1d2befc60915e247a76e7&chksm=8f5cd9d6b82b50c020291812db4addcbe10c7f1355225ebbc5e8d9bd52883c483f4c251d9b74#rd
20,05.13(周四),申请Q&A-申请要知道的15件事 来参加个人咨询!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901381&idx=1&sn=d9627359b02ba66e3259112b261aa746&chksm=8f5cd9f0b82b50e647cc4febec375c24d3f347aba38dc81bc87d230a53d2382756d9b6872aec#rd
21,05.12(周三),有新意! 来看理大设计学院校友的创作!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901380&idx=1&sn=18b34f52abc040adee947b4b88daa38a&chksm=8f5cd9f1b82b50e7ab53d14e78fe7f3ba74273740cdb7507faaa0692af312baef6add371c0cb#rd
22,05.12(周三),汶川13年：铭记，守望，勇毅前行,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901380&idx=2&sn=5a8d021b9a4659fe73f8e10c0ccc2137&chksm=8f5cd9f1b82b50e73266817521270bb50a73c9d52877cc5fa7c7ec5069c85dc8527f00a8d76d#rd
23,05.10(周一),立刻报名! 理大“艺术与设计”专业 位列世界第20位!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901317&idx=1&sn=7f13aa794be0f8d48a701120c220b901&chksm=8f5cd9b0b82b50a6f03b193f962f336f71aa413b2abb778d7d3eb5ef5dc199a3308422527e92#rd
24,05.07(周五),直播链接来咯! 医疗及社会科学院 名师授课 招生最新资讯,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901316&idx=1&sn=2735fd81c810692f4be96a7822df0208&chksm=8f5cd9b1b82b50a73962a5b35297dc37143324a0978f6429ebaf0de432e0c181edd6cef6124d#rd
25,05.06(周四),理大独有课程! 来看优秀校友的得奖运动服系列!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901231&idx=1&sn=7ad114efbc078aac8d5dd25097c4d053&chksm=8f5cd81ab82b510c7551a8e74ca6b92af9435f98148e546af13d8cf29cda95d02a8a5a6b7813#rd
26,05.04(周二),致青春 l 为理想奋斗  充满阳光的理大学长!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901223&idx=1&sn=b02ec5e1636736db09ca793b60a69d66&chksm=8f5cd812b82b51043f73aee77c4889cdcb9dd7c22c4309628067bbaae1aa4a6437197709b395#rd
27,05.02(周日),立即报名！「理大云讲堂」继续精彩! 讨论语言是否决定思维方式,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901161&idx=1&sn=5b3c6496962291bba15de538a461c3c4&chksm=8f5cd8dcb82b51ca0e15de7110d6be4ae9be9eb907ef4a1c8a3fb1b7e7dfe5b29eca24dad7b3#rd
28,04.30(周五),直播链接来咯! 明早理大云讲堂  人与言 还有招生最新资讯!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901157&idx=1&sn=bfd0324fa4ad9c0a3f816a1b4f9fba6f&chksm=8f5cd8d0b82b51c6d5a9b848dc6d18832837acc3f85d0a762848a25f9430303f8bc81c8aadfe#rd
29,04.30(周五),教育部2020年度高校科研优秀成果奖揭晓，理大3项成果上榜！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901157&idx=2&sn=41570cedaa18faff6cfb2a384975a549&chksm=8f5cd8d0b82b51c64be6cb9b5993097a4d821b4a80f1be6fca44e0128dd0992dbaf4674b7039#rd
